timestamp,temperature
20200101T0000,2.1805286
20200101T0100,1.4905287
20200101T0200,1.6905286
20200101T0300,1.4305286
20200101T0400,0.84052867
20200101T0500,1.1605287
20200101T0600,1.6805286
20200101T0700,1.7005286
20200101T0800,1.3005286
20200101T0900,0.41052866
20200101T1000,-0.30947134
20200101T1100,1.1405287
20200101T1200,3.4205287
20200101T1300,4.7305284
20200101T1400,5.7205286
20200101T1500,6.8105288
20200101T1600,6.9605284
20200101T1700,5.5505285
20200101T1800,4.1205287
20200101T1900,3.6005285
20200101T2000,3.4205287
20200101T2100,3.4905286
20200101T2200,3.3605285
20200101T2300,3.1505284
20200102T0000,2.9805286
20200102T0100,3.0205286
20200102T0200,3.1205285
20200102T0300,3.1405284
20200102T0400,3.0605285
20200102T0500,2.3805285
20200102T0600,1.9805287
20200102T0700,2.1605287
20200102T0800,2.0205286
20200102T0900,1.6105287
20200102T1000,1.5605286
20200102T1100,2.4505286
20200102T1200,3.6505284
20200102T1300,4.9105287
20200102T1400,6.4905286
20200102T1500,7.6505284
20200102T1600,8.090529
20200102T1700,7.9505286
20200102T1800,7.4405284
20200102T1900,6.6105285
20200102T2000,6.0005283
20200102T2100,4.4505286
20200102T2200,4.1405287
20200102T2300,4.8505287
20200103T0000,4.000529
20200103T0100,2.9405286
20200103T0200,2.3105285
20200103T0300,2.0405285
20200103T0400,2.5705285
20200103T0500,2.7605286
20200103T0600,2.9505286
20200103T0700,2.9205287
20200103T0800,3.6805286
20200103T0900,4.7805285
20200103T1000,5.8805285
20200103T1100,7.5205283
20200103T1200,9.670529
20200103T1300,11.200529
20200103T1400,10.750529
20200103T1500,11.660529
20200103T1600,11.930529
20200103T1700,10.330529
20200103T1800,9.270529
20200103T1900,8.460529
20200103T2000,7.8005285
20200103T2100,7.3605285
20200103T2200,7.4105287
20200103T2300,7.5305285
20200104T0000,7.8805285
20200104T0100,7.8405285
20200104T0200,8.160529
20200104T0300,8.070529
20200104T0400,7.9505286
20200104T0500,7.7705283
20200104T0600,7.8505287
20200104T0700,7.5305285
20200104T0800,7.0505285
20200104T0900,5.8105288
20200104T1000,4.7805285
20200104T1100,4.8305287
20200104T1200,5.2005286
20200104T1300,5.4605284
20200104T1400,7.1605287
20200104T1500,7.6905284
20200104T1600,7.6305285
20200104T1700,6.9805284
20200104T1800,5.6805286
20200104T1900,4.6505284
20200104T2000,3.9905286
20200104T2100,3.4105287
20200104T2200,2.9305286
20200104T2300,2.4605286
20200105T0000,2.1905286
20200105T0100,2.4805286
20200105T0200,3.0305285
20200105T0300,3.0505285
20200105T0400,2.9905286
20200105T0500,2.9305286
20200105T0600,2.7105286
20200105T0700,2.3605285
20200105T0800,2.1705287
20200105T0900,1.9205287
20200105T1000,2.1105285
