id,name,original_name,director,mother_company,length_minutes,year,country,picture_format,age_limit,number_of_disks,weight,rating,num_of_rates,price,picture
116830,'just name','just orig name','just dir name','just mc name','97','1998','США| Великобритания| Дания| Франция| Япония| Новая Зеландия| Германия','PAL | WideScreen 16:9 (1.78:1)','18+',1,65.0,'3.5',73,350.0,'./img/116830jpg'
131034,'just name','just orig name','just dir name','just mc name','114','1985','США| Великобритания','PAL | 1080p Full High Definition','12+',1,85.0,'4.5',54,549.0,'./img/131034jpg'
118280,'just name','just orig name','just dir name','just mc name','177','2011','США','PAL | Animorphic WideScreen 16:9 (2.35:1)| 1080p Full High Definition 16:9 (2.35:1)','0+',2,105.0,'4.6',47,402.0,'./img/118280jpg'
40486,'just name','just orig name','just dir name','just mc name','112','2006','Мексика| Испания| США','PAL | 1080p Full High Definition 16:9 (1.78:1)','',1,60.0,'4.5',47,1090.0,'./img/40486jpg'
117869,'just name','just orig name','just dir name','just mc name','86','1997','США','PAL | 1080p Full High Definition 16:9 (1.85:1)','16+',1,70.0,'4.5',64,534.0,'./img/117869jpg'
81788,'just name','just orig name','just dir name','just mc name','133','2015','США','PAL | 1080p High Definition 16:9','16+',1,65.0,'4.3',38,476.0,'./img/81788jpg'
114067,'just name','just orig name','just dir name','just mc name','101','2017','Дания| США','PAL | 1080p Full High Definition 16:9 (2.40:1)','6+',1,65.0,'4.5',75,349.0,'./img/114067jpg'
120534,'just name','just orig name','just dir name','just mc name','112','2017','США','PAL | 1080p Full High Definition 16:9 (2.40:1)','18+',1,70.0,'4.5',43,476.0,'./img/120534jpg'
16409,'just name','just orig name','just dir name','just mc name','88','2008','США','PAL | 1080i High Defenition 16:9','0+',1,65.0,'4.6',71,654.0,'./img/16409jpg'
143935,'just name','just orig name','just dir name','just mc name','106','2019','Дания| Норвегия| Австралия| США','PAL | 1080p High Definition 16:9 (2.4:1)','6+',1,65.0,'4.5',90,599.0,'./img/143935jpg'
125453,'just name','just orig name','just dir name','just mc name','94','2017','США','PAL | 1080p Full High Definition 16:9 (1.85:1)','18+',1,85.0,'4.4',56,674.0,'./img/125453jpg'
128428,'just name','just orig name','just dir name','just mc name','113','2001','США| Германия','PAL | 1080p Full High Definition 16:9 (1.85:1)','16+',1,80.0,'4.6',47,513.0,'./img/128428jpg'
58294,'just name','just orig name','just dir name','just mc name','118','2014','США','NTSC | 1080p Full High Definition 16:9 (1.85:1)','12+',1,60.0,'4.5',41,476.0,'./img/58294jpg'
42757,'just name','just orig name','just dir name','just mc name','88','2012','США','PAL | 1080p High Definition 16:9','6+',1,65.0,'4.6',68,399.0,'./img/42757jpg'
47315,'just name','just orig name','just dir name','just mc name','116','2012','Дания| Швеция| Италия| Франция| Германия','PAL | 1920 X 1080p','16+',1,70.0,'4.4',42,249.0,'./img/47315jpg'
47817,'just name','just orig name','just dir name','just mc name','116','2012','Дания| Швеция| Италия| Франция| Германия','PAL | 1920 X 1080p','16+',1,70.0,'4.5',36,184.0,'./img/47817jpg'
112060,'just name','just orig name','just dir name','just mc name','108','2017','Россия','PAL | 1080p Full High Definition 16:9 (2.35:1)','16+',1,65.0,'4.4',71,628.0,'./img/112060jpg'
41792,'just name','just orig name','just dir name','just mc name','60','1921','США','PAL | 1080p High Definition 3:4 (1.33:1)','0+',1,70.0,'4.7',64,280.0,'./img/41792jpg'
49361,'just name','just orig name','just dir name','just mc name','108','2013','США| Россия','PAL | 1080p Full High Definition 16:9','16+',1,65.0,'4.4',75,999.0,'./img/49361jpg'
49550,'just name','just orig name','just dir name','just mc name','77','2004','СССР','PAL | 1080p Full High Definition','0+',1,65.0,'4.4',58,299.0,'./img/49550jpg'
34631,'just name','just orig name','just dir name','just mc name','123','1994','Россия','PAL | 1080p High Definition (1.33:1)','16+',1,70.0,'4.6',62,219.0,'./img/34631jpg'
34571,'just name','just orig name','just dir name','just mc name','121','2011','Россия','PAL | 1080p High Definition 16:9','12+',1,65.0,'4.5',65,552.0,'./img/34571jpg'
34962,'just name','just orig name','just dir name','just mc name','95','2010','США','PAL | 1080p High Definition 16:9 (2.35:1)','',1,65.0,'4.6',40,899.0,'./img/34962jpg'
32949,'just name','just orig name','just dir name','just mc name','94','2010','Великобритания','PAL | WideScreen 16:9 (1.78:1)','16+',1,70.0,'4.6',39,223.0,'./img/32949jpg'
83352,'just name','just orig name','just dir name','just mc name','101','2016','США','PAL | 1080p High Definition 16:9 2.40:1','16+',1,70.0,'4.5',62,534.0,'./img/83352jpg'
131035,'just name','just orig name','just dir name','just mc name','92','2016','США','PAL | 1080p Full High Definition','18+',1,80.0,'4.6',62,549.0,'./img/131035jpg'
137117,'just name','just orig name','just dir name','just mc name','133','2011','США','PAL | 1080p','16+',2,140.0,'4.5',66,759.0,'./img/137117jpg'
103552,'just name','just orig name','just dir name','just mc name','126','2017','Великобритания| Австралия| США','PAL | 1080р High Definition 16:9 (2.4:1)','16+',1,70.0,'4.4',56,812.0,'./img/103552jpg'
95600,'just name','just orig name','just dir name','just mc name','104','2016','США','PAL | 1080p Full High Definition 16:9 (2.40:1)','6+',1,70.0,'4.6',59,534.0,'./img/95600jpg'
60695,'just name','just orig name','just dir name','just mc name','125','2015','США| Китай','PAL | WideScreen 2|00:1 16:9','16+',1,65.0,'4.5',82,759.0,'./img/60695jpg'
44742,'just name','just orig name','just dir name','just mc name','106','2012','США| Россия','PAL | 1080p High Definition 16:9 (2.35:1)','12+',1,65.0,'4.3',23,599.0,'./img/44742jpg'
46927,'just name','just orig name','just dir name','just mc name','120','2012','США','PAL | Высокой четкости (1.85:1) 1920 Х 1080','16+',1,70.0,'4.5',53,999.0,'./img/46927jpg'
39665,'just name','just orig name','just dir name','just mc name','84','2011','Россия','PAL | 1080p High Definition 16:9 (1.37:1)','16+',1,65.0,'4.4',53,299.0,'./img/39665jpg'
